well,id_combined,id,target,replicate,group
A1,,,,,
A2,CHF01 HC_1,CHF01 HC,Oxtr,1,CHD
A3,CHF02 HC_1,CHF02 HC,Oxtr,1,CHD
A4,CHM01_1,CHM01,Oxtr,1,CHD
A5,CHM02_1,CHM02,Oxtr,1,CHD
A6,HMF01 HC_1,HMF01 HC,Oxtr,1,HMI
A7,HMF02 HC_1,HMF02 HC,Oxtr,1,HMI
A8,HMM01 HC_1,HMM01 HC,Oxtr,1,HMI
A9,HMM02 HC_1,HMM02 HC,Oxtr,1,HMI
A10,NJF01_1,NJF01,Oxtr,1,NJL
A11,NJF02_1,NJF02,Oxtr,1,NJL
A12,,,,,
B1,,,,,
B2,CHF01 HC_2,CHF01 HC,Oxtr,2,CHD
B3,CHF02 HC_2,CHF02 HC,Oxtr,2,CHD
B4,CHM01_2,CHM01,Oxtr,2,CHD
B5,CHM02_2,CHM02,Oxtr,2,CHD
B6,HMF01 HC_2,HMF01 HC,Oxtr,2,HMI
B7,HMF02 HC_2,HMF02 HC,Oxtr,2,HMI
B8,HMM01 HC_2,HMM01 HC,Oxtr,2,HMI
B9,HMM02 HC_2,HMM02 HC,Oxtr,2,HMI
B10,NJF01_2,NJF01,Oxtr,2,NJL
B11,NJF02_2,NJF02,Oxtr,2,NJL
B12,,,,,
C1,,,,,
C2,NJM01_1,NJM01,Oxtr,1,NJL
C3,NJM02_1,NJM02,Oxtr,1,NJL
C4,B6F01 HC_1,B6F01 HC,Oxtr,1,B6
C5,B6F02 HC_1,B6F02 HC,Oxtr,1,B6
C6,BM05 HC_1,BM05 HC,Oxtr,1,B6
C7,BM06 HC_1,BM06 HC,Oxtr,1,B6
C8,PGF01_1,PGF01,Oxtr,1,PGN2
C9,PGF02_1,PGF02,Oxtr,1,PGN2
C10,PGM01_1,PGM01,Oxtr,1,PGN2
C11,PGM02_1,PGM02,Oxtr,1,PGN2
C12,,,,,
D1,,,,,
D2,NJM01_2,NJM01,Oxtr,2,NJL
D3,NJM02_2,NJM02,Oxtr,2,NJL
D4,B6F01 HC_2,B6F01 HC,Oxtr,2,B6
D5,B6F02 HC_2,B6F02 HC,Oxtr,2,B6
D6,BM05 HC_2,BM05 HC,Oxtr,2,B6
D7,BM06 HC_2,BM06 HC,Oxtr,2,B6
D8,PGF01_2,PGF01,Oxtr,2,PGN2
D9,PGF02_2,PGF02,Oxtr,2,PGN2
D10,PGM01_2,PGM01,Oxtr,2,PGN2
D11,PGM02_2,PGM02,Oxtr,2,PGN2
D12,,,,,
E1,,,,,
E2,CHF01 HC_1,CHF01 HC,Gapdh,1,CHD
E3,CHF02 HC_1,CHF02 HC,Gapdh,1,CHD
E4,CHM01_1,CHM01,Gapdh,1,CHD
E5,CHM02_1,CHM02,Gapdh,1,CHD
E6,HMF01 HC_1,HMF01 HC,Gapdh,1,HMI
E7,HMF02 HC_1,HMF02 HC,Gapdh,1,HMI
E8,HMM01 HC_1,HMM01 HC,Gapdh,1,HMI
E9,HMM02 HC_1,HMM02 HC,Gapdh,1,HMI
E10,NJF01_1,NJF01,Gapdh,1,NJL
E11,NJF02_1,NJF02,Gapdh,1,NJL
E12,,,,,
F1,,,,,
F2,CHF01 HC_2,CHF01 HC,Gapdh,2,CHD
F3,CHF02 HC_2,CHF02 HC,Gapdh,2,CHD
F4,CHM01_2,CHM01,Gapdh,2,CHD
F5,CHM02_2,CHM02,Gapdh,2,CHD
F6,HMF01 HC_2,HMF01 HC,Gapdh,2,HMI
F7,HMF02 HC_2,HMF02 HC,Gapdh,2,HMI
F8,HMM01 HC_2,HMM01 HC,Gapdh,2,HMI
F9,HMM02 HC_2,HMM02 HC,Gapdh,2,HMI
F10,NJF01_2,NJF01,Gapdh,2,NJL
F11,NJF02_2,NJF02,Gapdh,2,NJL
F12,,,,,
G1,,,,,
G2,NJM01_1,NJM01,Gapdh,1,NJL
G3,NJM02_1,NJM02,Gapdh,1,NJL
G4,B6F01 HC_1,B6F01 HC,Gapdh,1,B6
G5,B6F02 HC_1,B6F02 HC,Gapdh,1,B6
G6,BM05 HC_1,BM05 HC,Gapdh,1,B6
G7,BM06 HC_1,BM06 HC,Gapdh,1,B6
G8,PGF01_1,PGF01,Gapdh,1,PGN2
G9,PGF02_1,PGF02,Gapdh,1,PGN2
G10,PGM01_1,PGM01,Gapdh,1,PGN2
G11,PGM02_1,PGM02,Gapdh,1,PGN2
G12,,,,,
H1,,,,,
H2,NJM01_2,NJM01,Gapdh,2,NJL
H3,NJM02_2,NJM02,Gapdh,2,NJL
H4,B6F01 HC_2,B6F01 HC,Gapdh,2,B6
H5,B6F02 HC_2,B6F02 HC,Gapdh,2,B6
H6,BM05 HC_2,BM05 HC,Gapdh,2,B6
H7,BM06 HC_2,BM06 HC,Gapdh,2,B6
H8,PGF01_2,PGF01,Gapdh,2,PGN2
H9,PGF02_2,PGF02,Gapdh,2,PGN2
H10,PGM01_2,PGM01,Gapdh,2,PGN2
H11,PGM02_2,PGM02,Gapdh,2,PGN2
H12,,,,,
